PIN DELAY,
REFDES BGA,
DEVICE BGA,
,
BJ20,0.04226 ns
BJ22,0.03878 ns
BJ24,0.03566 ns
BJ26,0.03253 ns
BJ28,0.03045 ns
BJ30,0.02746 ns
BJ32,0.02504 ns
BJ34,0.02361 ns
BJ36,0.02181 ns
BJ38,0.02455 ns
BJ4,0.06684 ns
BJ40,0.02513 ns
BJ42,0.02786 ns
BJ44,0.03056 ns
BJ47,0.06718 ns
BJ49,0.09486 ns
BJ7,0.05516 ns
BJ8,0.05565 ns
BK10,0.04346 ns
BK12,0.05207 ns
BK14,0.04889 ns
BK16,0.04565 ns
BK18,0.04246 ns
BK20,0.04256 ns
BK22,0.03907 ns
BK24,0.03596 ns
BK26,0.03267 ns
BK28,0.03074 ns
BK30,0.02776 ns
BK32,0.02526 ns
BK34,0.02334 ns
BK36,0.02206 ns
BK38,0.02483 ns
BK40,0.02535 ns
BK42,0.02812 ns
BK44,0.03085 ns
BK7,0.05499 ns
BK8,0.05404 ns
C1,0.07284 ns
C11,0.12186 ns
C12,0.12828 ns
C14,0.11621 ns
C15,0.12291 ns
C17,0.11354 ns
C18,0.12558 ns
C2,0.06496 ns
C20,0.13722 ns
C21,0.12603 ns
C23,0.12803 ns
C24,0.17574 ns
C26,0.17274 ns
C27,0.15701 ns
C29,0.16311 ns
C3,0.04812 ns
C30,0.17143 ns
C32,0.12646 ns
C35,0.11285 ns
C36,0.11148 ns
C38,0.12731 ns
C39,0.12777 ns
C4,0.04208 ns
C41,0.10796 ns
C42,0.13785 ns
C47,0.04208 ns
C48,0.04812 ns
C49,0.06496 ns
C50,0.07284 ns
C8,0.11518 ns
C9,0.11056 ns
D1,0.07512 ns
D14,0.12587 ns
D15,0.11695 ns
D17,0.10325 ns
D18,0.10582 ns
D20,0.136 ns
D21,0.13379 ns
D23,0.12448 ns
D24,0.17892 ns
D26,0.15397 ns
D27,0.12296 ns
D29,0.15426 ns
D3,0.04993 ns
D30,0.14698 ns
D32,0.1248 ns
D33,0.12029 ns
D36,0.09919 ns
D38,0.11735 ns
D39,0.106 ns
D41,0.16199 ns
D42,0.12706 ns
D48,0.04993 ns
D50,0.07512 ns
D9,0.1211 ns
E17,0.10283 ns
E18,0.11267 ns
E20,0.11281 ns
E21,0.12122 ns
E23,0.11671 ns
E24,0.17401 ns
E26,0.12239 ns
E27,0.135 ns
E29,0.13812 ns
E30,0.13952 ns
E32,0.13222 ns
E33,0.1199 ns
E41,0.10594 ns
E42,0.11549 ns
F1,0.06076 ns
F3,0.04379 ns
F48,0.04379 ns
F50,0.06076 ns
G1,0.06055 ns
G3,0.04405 ns
G46,0.04345 ns
G48,0.04405 ns
G5,0.04345 ns
G50,0.06055 ns
H4,0.0439 ns
H47,0.0439 ns
J1,0.05851 ns
J2,0.05559 ns
J3,0.04626 ns
J46,0.04586 ns
J48,0.04626 ns
J49,0.05559 ns
J5,0.04586 ns
J50,0.05851 ns
K46,0.04605 ns
K5,0.04604 ns
L1,0.05367 ns
L2,0.04945 ns
L3,0.03266 ns
L48,0.03266 ns
L49,0.04945 ns
L50,0.05367 ns
M1,0.05487 ns
M3,0.03687 ns
M4,0.0359 ns
M46,0.03629 ns
M47,0.0359 ns
M48,0.03687 ns
M5,0.03629 ns
M50,0.05487 ns
P1,0.04654 ns
P2,0.04554 ns
P3,0.03757 ns
P46,0.0427 ns
P48,0.03757 ns
P49,0.04554 ns
